[65, 86, 95, 94, 30, 21, 36, 99, 20, 64]
[77, 66, 3, 11, 9, 17, 65, 90, 24, 96]
[77, 26, 6, 89, 9, 18, 81, 42, 13, 36]
[73, 21, 36, 44, 68, 5, 74, 36, 15, 80]
[30, 84, 7, 70, 62, 58, 91, 35, 56, 23]
[9, 80, 53, 73, 100, 6, 41, 93, 44, 88]
[93, 8, 18, 54, 21, 80, 9, 67, 48, 39]
[71, 96, 5, 53, 11, 61, 6, 79, 28, 1]
[5, 97, 11, 14, 81, 13, 76, 82, 68, 99]
[73, 48, 17, 65, 3, 87, 40, 99, 3, 71]
[91, 9, 7, 43, 97, 64, 83, 48, 21, 32]
[63, 23, 17, 97, 50, 19, 78, 80, 61, 8]
[41, 43, 8, 70, 20, 61, 15, 1, 83, 3]
[26, 19, 4, 11, 40, 83, 75, 52, 47, 1]
[20, 33, 43, 47, 57, 86, 64, 60, 20, 14]
[87, 86, 63, 27, 7, 95, 63, 85, 27, 56]
[90, 4, 44, 24, 37, 16, 100, 12, 25, 29]
[24, 98, 60, 18, 38, 52, 63, 41, 1, 69]
[52, 49, 78, 12, 94, 47, 36, 20, 74, 10]
[27, 31, 60, 40, 78, 28, 12, 62, 38, 60]
[13, 60, 35, 86, 82, 46, 9, 53, 26, 12]
[68, 7, 63, 94, 8, 13, 47, 30, 97, 61]
[26, 92, 45, 45, 40, 1, 55, 38, 26, 69]
[94, 94, 25, 44, 96, 30, 64, 16, 23, 50]
[27, 21, 63, 69, 29, 61, 41, 53, 1, 93]
[21, 33, 34, 50, 90, 15, 56, 68, 37, 48]
[74, 67, 47, 94, 47, 98, 17, 52, 39, 21]
[41, 67, 64, 49, 66, 11, 51, 100, 10, 25]
[64, 29, 71, 46, 21, 72, 21, 50, 58, 98]
[22, 78, 3, 68, 66, 19, 30, 44, 3, 27]
[93, 49, 25, 48, 17, 45, 76, 100, 11, 31]
[36, 39, 64, 79, 26, 51, 89, 68, 64, 21]
[65, 13, 81, 56, 56, 21, 58, 26, 43, 52]
[26, 61, 91, 47, 54, 56, 13, 12, 44, 17]
[54, 92, 75, 12, 99, 89, 79, 34, 62, 27]
[68, 23, 11, 47, 89, 27, 94, 17, 87, 84]
[19, 6, 47, 69, 21, 51, 19, 89, 26, 58]
[29, 85, 6, 19, 75, 25, 75, 74, 95, 32]
[51, 34, 56, 62, 78, 17, 16, 92, 79, 36]
[28, 72, 18, 47, 98, 58, 90, 75, 9, 83]
[38, 74, 76, 10, 89, 54, 91, 36, 7, 37]
[70, 4, 2, 76, 75, 100, 71, 89, 78, 55]
[38, 63, 30, 31, 100, 18, 22, 3, 34, 5]
[30, 22, 39, 83, 42, 38, 66, 43, 56, 85]
[82, 39, 97, 63, 66, 49, 85, 11, 27, 35]
[96, 72, 47, 80, 53, 46, 37, 40, 35, 50]
[59, 76, 19, 88, 29, 46, 77, 16, 19, 98]
[40, 55, 44, 51, 69, 99, 51, 75, 13, 66]
[23, 1, 48, 53, 100, 28, 12, 67, 16, 3]
[81, 69, 67, 58, 27, 61, 21, 27, 26, 15]
[54, 34, 95, 24, 36, 91, 35, 78, 32, 44]
[73, 30, 8, 65, 38, 34, 10, 55, 64, 31]
[83, 75, 22, 89, 29, 89, 39, 22, 52, 93]
[44, 64, 15, 77, 24, 6, 31, 63, 40, 51]
[27, 68, 20, 59, 25, 31, 21, 33, 98, 60]
[1, 59, 62, 44, 4, 20, 11, 37, 80, 84]
[52, 19, 74, 42, 89, 52, 4, 93, 48, 5]
[96, 20, 42, 46, 15, 65, 35, 52, 70, 5]
[52, 66, 78, 41, 73, 86, 57, 79, 53, 88]
[54, 35, 83, 16, 93, 61, 99, 100, 75, 7]
[40, 6, 33, 24, 3, 18, 10, 83, 45, 29]
[31, 31, 92, 43, 71, 39, 92, 60, 59, 94]
[95, 61, 27, 96, 50, 12, 1, 54, 61, 27]
[44, 66, 77, 18, 64, 29, 100, 35, 73, 67]
[97, 38, 30, 90, 23, 48, 50, 46, 24, 43]
[61, 3, 94, 45, 51, 95, 18, 53, 21, 63]
[53, 4, 15, 53, 82, 31, 82, 19, 14, 100]
[48, 30, 94, 28, 18, 82, 25, 59, 50, 40]
[85, 20, 94, 16, 6, 53, 64, 49, 88, 96]
[70, 51, 11, 59, 27, 23, 68, 18, 7, 38]
[10, 50, 8, 20, 59, 24, 86, 99, 39, 95]
[92, 3, 42, 3, 84, 63, 16, 36, 6, 19]
[58, 34, 47, 35, 29, 88, 83, 5, 31, 8]
[19, 8, 71, 61, 95, 96, 97, 44, 29, 78]
[30, 2, 53, 3, 7, 72, 2, 22, 64, 67]
[2, 15, 71, 37, 29, 29, 40, 52, 83, 50]
[50, 14, 79, 9, 71, 24, 42, 72, 5, 64]
[38, 14, 29, 89, 23, 68, 35, 76, 73, 76]
[83, 87, 13, 15, 20, 38, 47, 45, 42, 85]
[93, 91, 62, 74, 100, 64, 85, 9, 27, 44]
[26, 81, 27, 23, 67, 68, 16, 28, 14, 45]
[10, 34, 41, 48, 75, 84, 90, 34, 67, 32]
[43, 37, 20, 59, 38, 54, 57, 57, 17, 8]
[96, 34, 7, 68, 86, 74, 49, 91, 14, 63]
[12, 82, 6, 35, 34, 18, 51, 37, 86, 93]
[78, 18, 39, 11, 14, 12, 27, 48, 64, 34]
[68, 66, 81, 19, 53, 7, 48, 11, 3, 98]
[30, 23, 14, 13, 28, 22, 1, 30, 33, 51]
[1, 61, 46, 54, 97, 42, 31, 29, 71, 65]
[41, 99, 88, 83, 99, 24, 16, 88, 93, 35]
[46, 4, 89, 27, 42, 80, 17, 10, 7, 77]
[80, 58, 82, 6, 55, 8, 68, 17, 96, 71]
[69, 36, 23, 52, 67, 46, 76, 1, 79, 5]
[60, 13, 93, 74, 6, 10, 42, 28, 54, 57]
[68, 89, 98, 94, 92, 41, 53, 72, 68, 78]
[97, 61, 23, 7, 3, 2, 72, 49, 39, 20]
[4, 96, 73, 20, 25, 34, 62, 32, 88, 42]
[100, 55, 24, 29, 25, 59, 32, 61, 38, 79]
[35, 94, 63, 32, 59, 17, 15, 22, 72, 6]
[82, 84, 73, 59, 55, 4, 81, 99, 24, 22]
